S#,Date,Islamic Date,Blast Day Type,Blast Day Type clean,Holiday Type,Holiday Type clean,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Category helper,Location Sensitivity,Location Sensitivity helper,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Year,Hour of Attack,AM / PM
1,Sunday-November 19-1995,25 Jumaada al-THaany 1416 A.H,Holiday,Holiday,Weekend,Weekend,N/A,Islamabad,33.718,73.0718,Capital,Egyptian Embassy,Foreign,FOREIGN,High,HIGH,Closed,,Foreigner,None,14,15,,60,2,,,15.835,60.503,1995,,
2,Monday-November 6-2000,10 SHa`baan 1421 A.H,Working Day,Working Day,,,N/A,Karachi,24.9918,66.9911,Sindh,office of Nawa-e-Waqt,Office Building,OFFICE BUILDING,Low,LOW,Closed,,Media,None,,3,,3,1,,,23.77,74.786,2000,,
3,Wednesday-May 8-2002,25 safar 1423 A.H,Working Day,Working Day,,,7:45:00 AM,Karachi ,24.9918,66.9911,Sindh,Pakistan Navy bus Parked outside Five Star Sheraton Hotel ,Hotel,HOTEL,Medium,MEDIUM,Closed,,Foreigner,Christian,13,15,20,40,1,2.5 Kg,1.Jinnah Postgraduate Medical Center 2. Civil Hospital Karachi 3. PN Shifa,31.46,88.628,2002,7,AM
4,Friday-June 14-2002,3 Raby` al-THaany 1423 A.H,Working Day,Working Day,,,11:10:00 AM,Karachi,24.9918,66.9911,Sindh,US Consulate Civil Lines Area ,Foreign,FOREIGN,High,HIGH,Closed,,Foreigner,Christian,,12,,51,1,NA,NA,31.43,88.574,2002,11,AM
5,Friday-July 4-2003,4 Jumaada al-awal 1424 A.H,Working Day,Working Day,,,N/A,Quetta,30.2095,67.0182,Baluchistan,Imambargah MeCongy Road Quetta,Religious,RELIGIOUS,Medium,MEDIUM,Closed,during Friday prayer,Religious,Shiite,44,47,,65,1,NA,"1.CMH Quetta 
2.Civil Hospital 3. Boland Medical Complex",33.12,91.616,2003,,
6,Thursday-December 25-2003,2 Thw al-Qi`dah 1424 A.H.,Holiday,Holiday,Christmas/birthday of Quaid-e-Azam,Public Holiday,1:40:00 PM/1:42:00 PM,Rawalpindi,33.6058,73.0437,Punjab,Jhanda Chichi area rawalpindi ,Mobile,MOBILE,Low,LOW,Open,president's/chief of army staff convoy passing from there,Military,None,16,18,,50,2,30kg in each car,"1.District headquarters 
Hospital ",9.445,49.001,2003,1,PM
7,Saturday-February 28-2004,8 MuHarram 1425 A.H,Working Day,Working Day,,,,Rawalpindi,33.6058,73.0437,Punjab,Yadgar-i-Hussaini in Satellite Town,Religious,RELIGIOUS,Medium,MEDIUM,Closed,maghrib prayer was in process,Religious,shiite,,1,3,4,1,NA,NA,15.275,59.495,2004,,
8,Friday-May 7-2004,18 Raby` al-awal 1425 A.H,Working Day,Working Day,,,1:20:00/1:17:00 PM,Karachi ,24.9918,66.9911,Sindh,Karachi Shia mosque Sindh Madrassatul Islam,Religious,RELIGIOUS,Medium,MEDIUM,Closed,Friday prayer was in progress,Religious,shiite,14,15,96,200,1,2kg,Civil hospital ,33.86,92.948,2004,1,PM
9,Monday-May 31-2004,,Working Day,Working Day,,,evening,Karachi ,24.9918,66.9911,Sindh,Imambargah off M.A Jinnah road near Numaish intersection,Religious,RELIGIOUS,Medium,MEDIUM,Closed,,Religious,Shiite,16,18,,35,1,NA,Civil hospital-Liaquat National hospital-Jinnah Postgraduate Medical Center,31.605,88.889,2004,,
10,Thursday-June 3-2004,15 Raby` al-THaany 1425 A.H,Working Day,Working Day,,,N/A,North waziristan,32.9746,70.1456,FATA,checkpost in north waziristan-close to Afghanistan border,Military,MILITARY,High,HIGH,Open,,Military,None,,2,,2,1,,,27.18,80.924,2004,,
